count.C1,count.C2,count.C3,count.T1,count.T2,count.T3
1755,1176,1303,1577,1856,1501
4905,3616,3704,5509,6691,5267
381,381,290,663,860,647
1265,1145,897,1773,1610,1504
0,0,8,13,8,0
940,699,846,1117,1257,980
27787,22018,20983,23165,23905,19958
2519,2068,2197,3551,3756,3211
2871,2299,2449,3540,3696,3580
1518,1128,1091,1443,1719,1550
3836,3127,3096,3180,3019,2951
14182,11568,10453,10493,9816,10089
1004,643,646,717,863,892
868,772,705,949,1007,780
5409,4160,4075,6865,7978,7239
14516,11360,11087,31544,36142,31732
1769,1250,1378,2090,2552,2265
838,733,694,1685,1793,1558
141,127,139,109,128,106
10274,7924,7327,6034,6573,6190
8714,6904,6832,9857,10612,9259
32809,27342,26942,25746,28153,23180
24,30,0,16,0,19
0,0,13,0,4,6
152,114,110,184,171,175
1486,2192,2284,1713,1693,1049
80880,68049,61224,44259,44317,41097
5639,4589,3939,3907,3911,3869
40670,33710,30525,42345,42221,40750
46,13,36,84,45,104
550,462,464,520,532,456
0,0,0,3,0,0
409,282,230,196,147,180
7416,6018,5762,9798,10003,9418
1470,1284,1114,1280,1311,1237
7888,6004,5432,5420,5390,5189
1857,1464,1305,2294,2885,2352
1049,748,706,1402,1565,1285
10009,7992,7563,12041,12883,11853
235,156,54,90,138,84
1176,969,1034,1296,1480,1472
10867,9157,7850,8880,9608,9173
5790,4782,4040,3629,3855,4282
27100,22946,19913,17450,17481,16612
2440,2452,2059,2843,2787,2446
13881,11133,10642,15384,16639,14289
13,11,33,16,51,19
26666,21894,19572,17176,17766,16222
6405,4848,4546,5992,6406,6005
6558,5220,4948,11964,13332,10925
1024,913,732,1039,1105,1006
9417,6385,6653,9433,12580,9920
1245,1228,1038,1421,1903,1530
81,89,67,103,79,60
809,863,656,986,908,887
3813,3045,3058,3192,3414,3305
37,42,51,26,41,24
114,127,126,77,49,109
0,0,4,0,0,0
20,18,0,0,12,4
2937,2348,2321,2986,2953,2984
3100,2682,2199,2937,2764,2688
8998,6975,7232,8593,10358,8604
0,0,0,4,0,0
5870,4587,4665,5746,5728,5143
9179,7956,6892,8726,9048,8213
12403,10387,9787,8012,8103,7117
1847,1437,1228,1938,2259,1935
28855,24219,22113,27350,27996,25152
1694,1137,922,1687,2045,1844
514,460,424,468,366,429
4004,2936,3094,3391,3051,3476
4763,4239,4061,3935,3643,3679
20,10,0,20,4,0
0,10,4,8,12,4
3713,3147,2985,4919,4903,4393
3687,2704,2596,3832,5252,3945
17,15,4,27,29,46
460,331,280,484,676,630
4472,3951,3845,3218,3438,3131
2579,2250,2108,2962,3071,2808
5239,4371,3763,4193,4412,4065
1787,1634,1430,1630,1861,1723
1985,1468,1352,1835,2321,1821
3492,2952,2483,4999,5264,4601
6125,5963,5760,6545,5446,6261
4,0,0,4,4,9
0,0,0,5,0,0
783,578,589,870,1099,876
6489,4884,4644,5341,5617,5108
755,777,636,870,1029,880
16,18,8,17,36,23
2482,2121,2216,4539,4836,4513
7357,6549,5824,7519,7584,7156
0,4,0,0,0,0
3798,2731,2936,5977,7807,6548
759,519,664,708,886,817
3042,2552,2547,3398,4214,3479
2886,1931,1889,2700,3463,2813
12,8,9,0,7,0
4750,4453,3675,3197,3498,3499
137149,120033,114023,131087,127236,122769
2159,1521,1738,2319,2776,2403
14577,11647,11311,19159,20289,18349
421,383,280,382,531,496
7099,5978,5826,7422,7051,6725
2188,1677,1342,1628,1736,1679
92,113,88,82,73,155
1693,1659,1510,1762,1844,1681
10892,8803,7323,6074,7133,6257
0,0,0,6,0,0
6802,6476,5510,3840,3826,3724
0,4,7,9,4,4
67873,63276,57471,47335,49197,46099
47759,39550,37025,49196,49107,46356
3941,3072,2676,3722,3721,3450
0,4,0,0,4,0
